data_timestamp,Spo2,Pulse,PA

2017-07-17 21:26:55,97,89,53.5
2017-07-17 21:26:56,97,89,44
2017-07-17 21:26:57,97,89,16
2017-07-17 21:26:58,97,89,16.5
2017-07-17 21:26:59,97,89,10.5
2017-07-17 21:27:00,97,88,26
2017-07-17 21:27:01,97,88,32.5
2017-07-17 21:27:02,97,87,21
2017-07-17 21:27:03,97,86,10
2017-07-17 21:27:04,97,86,26
2017-07-17 21:27:05,97,86,22.5
2017-07-17 21:27:06,97,87,34.5
2017-07-17 21:27:07,97,88,45
2017-07-17 21:27:08,97,88,72.5
2017-07-17 21:27:09,97,88,28
2017-07-17 21:27:10,97,88,44
2017-07-17 21:27:11,97,88,16.5
2017-07-17 21:27:12,97,88,18.5
2017-07-17 21:27:13,97,87,53
2017-07-17 21:27:14,97,87,35.5
2017-07-17 21:27:15,97,87,42
2017-07-17 21:27:16,97,87,66
2017-07-17 21:27:17,97,87,59
2017-07-17 21:27:18,97,87,12.5
2017-07-17 21:27:19,97,87,48
2017-07-17 21:27:20,97,87,45.5
2017-07-17 21:27:21,97,88,23
2017-07-17 21:27:22,97,89,12
2017-07-17 21:27:23,97,89,90
2017-07-17 21:27:24,97,89,31.5
2017-07-17 21:27:25,97,89,29.5
2017-07-17 21:27:26,97,89,20.5
2017-07-17 21:27:27,97,88,69
2017-07-17 21:27:28,97,88,127.5
2017-07-17 21:27:29,97,87,97.5
2017-07-17 21:27:30,97,87,43
2017-07-17 21:27:31,97,87,15.5
2017-07-17 21:27:32,97,87,25
2017-07-17 21:27:33,97,87,38.5
2017-07-17 21:27:34,97,87,9
2017-07-17 21:27:35,97,88,4.5
2017-07-17 21:27:36,96,88,39.5
2017-07-17 21:27:37,95,88,64.5
2017-07-17 21:27:38,95,88,57.5
2017-07-17 21:27:39,95,87,80.5
2017-07-17 21:27:40,95,87,127.5
2017-07-17 21:27:41,58,7,50.5
2017-07-17 21:27:42,95,87,47.5
2017-07-17 21:27:43,95,87,71
2017-07-17 21:27:44,95,88,127.5
2017-07-17 21:27:45,95,88,50
2017-07-17 21:27:46,95,88,59.5
2017-07-17 21:27:47,95,88,59.5
2017-07-17 21:27:48,95,88,115.5
2017-07-17 21:27:49,95,88,61.5
2017-07-17 21:27:50,95,88,32
2017-07-17 21:27:51,95,88,46
2017-07-17 21:27:52,95,88,43.5
2017-07-17 21:27:53,95,88,77.5
2017-07-17 21:27:54,95,89,35
2017-07-17 21:27:55,95,89,13
2017-07-17 21:27:56,96,90,15
2017-07-17 21:27:57,96,91,15
2017-07-17 21:27:58,96,91,9
2017-07-17 21:27:59,96,91,9.5
2017-07-17 21:28:00,96,91,18.5
2017-07-17 21:28:01,96,91,31
2017-07-17 21:28:02,96,91,37
2017-07-17 21:28:03,96,90,24
2017-07-17 21:28:04,96,90,29.5
2017-07-17 21:28:05,96,90,19.5
2017-07-17 21:28:06,96,90,47
2017-07-17 21:28:07,96,90,37.5
2017-07-17 21:28:08,96,90,11.5
2017-07-17 21:28:09,96,91,48.5
2017-07-17 21:28:10,96,91,40
2017-07-17 21:28:11,96,91,31.5
2017-07-17 21:28:12,96,91,18.5
2017-07-17 21:28:13,96,91,31
2017-07-17 21:28:14,96,91,23.5
2017-07-17 21:28:15,96,91,17.5
2017-07-17 21:28:16,96,91,60.5
2017-07-17 21:28:17,96,91,56
2017-07-17 21:28:18,96,91,16.5
2017-07-17 21:28:19,96,91,17.5
2017-07-17 21:28:20,96,91,20.5
2017-07-17 21:28:21,96,91,30
2017-07-17 21:28:22,96,91,34.5
2017-07-17 21:28:23,96,92,38
2017-07-17 21:28:24,96,91,48
2017-07-17 21:28:25,96,91,21.5
2017-07-17 21:28:26,96,91,40
2017-07-17 21:28:27,96,91,18
2017-07-17 21:28:28,96,91,21
2017-07-17 21:28:29,96,92,45.5
2017-07-17 21:28:30,96,92,34.5
2017-07-17 21:28:31,96,92,67
2017-07-17 21:28:32,97,92,18.5
2017-07-17 21:28:33,97,92,45.5
2017-07-17 21:28:34,97,92,63
2017-07-17 21:28:35,97,92,67.5
2017-07-17 21:28:36,97,92,52.5
2017-07-17 21:28:37,97,92,69.5
2017-07-17 21:28:38,97,92,41
2017-07-17 21:28:39,97,92,75.5
2017-07-17 21:28:40,97,92,62.5
2017-07-17 21:28:41,96,92,103
2017-07-17 21:28:42,96,93,56
2017-07-17 21:28:43,96,93,107.5
2017-07-17 21:28:44,96,93,40.5
2017-07-17 21:28:45,96,94,20.5
2017-07-17 21:28:46,96,95,42.5
2017-07-17 21:28:47,96,95,79
2017-07-17 21:28:48,96,95,58
2017-07-17 21:28:49,96,95,57
2017-07-17 21:28:50,96,94,54
2017-07-17 21:28:51,96,94,31.5
2017-07-17 21:28:52,96,94,20.5
2017-07-17 21:28:53,96,94,52
2017-07-17 21:28:54,96,94,24
2017-07-17 21:28:55,96,94,91.5
2017-07-17 21:28:56,96,93,84.5
2017-07-17 21:28:57,96,93,61
2017-07-17 21:28:58,96,93,35
2017-07-17 21:28:59,97,93,27.5
2017-07-17 21:29:00,97,95,58.5
2017-07-17 21:29:01,97,95,118
2017-07-17 21:29:02,97,96,29.5
2017-07-17 21:29:03,97,96,21
2017-07-17 21:29:04,97,96,12.5
2017-07-17 21:29:05,97,95,12
2017-07-17 21:29:06,97,93,10
2017-07-17 21:29:07,97,93,19.5
2017-07-17 21:29:08,97,92,19
2017-07-17 21:29:09,97,92,10.5
2017-07-17 21:29:10,97,92,22.5
2017-07-17 21:29:11,97,92,38.5
2017-07-17 21:29:12,97,91,18
2017-07-17 21:29:13,97,91,16.5
2017-07-17 21:29:14,97,89,46
2017-07-17 21:29:15,97,89,60.5
2017-07-17 21:29:16,97,88,127.5
2017-07-17 21:29:17,97,88,3
2017-07-17 21:29:18,97,88,3.5
2017-07-17 21:29:19,97,88,4
2017-07-17 21:29:20,97,88,3.5
2017-07-17 21:29:21,97,89,2.5
2017-07-17 21:29:22,97,90,2
2017-07-17 21:29:23,97,90,2.5
2017-07-17 21:29:24,97,91,1.5
2017-07-17 21:29:25,97,91,2.5
2017-07-17 21:29:26,97,91,1
2017-07-17 21:29:27,97,91,3
2017-07-17 21:29:28,97,90,1.5
2017-07-17 21:29:29,97,90,1.5
2017-07-17 21:29:30,97,89,3
2017-07-17 21:29:31,97,89,1.5
2017-07-17 21:29:32,97,88,2.5
2017-07-17 21:29:33,97,88,5.5
2017-07-17 21:29:34,97,88,3.5
2017-07-17 21:29:35,97,88,4
2017-07-17 21:29:36,97,88,2.5
2017-07-17 21:29:37,97,89,3.5
2017-07-17 21:29:38,97,89,1.5
2017-07-17 21:29:39,97,90,2.5
2017-07-17 21:29:40,97,90,2.5
2017-07-17 21:29:41,97,89,2
2017-07-17 21:29:42,97,89,10
2017-07-17 21:29:43,97,89,23.5
2017-07-17 21:29:44,97,89,26.5
2017-07-17 21:29:45,97,89,20.5
2017-07-17 21:29:46,97,88,9
2017-07-17 21:29:47,97,88,10
2017-07-17 21:29:48,97,88,2.5
2017-07-17 21:29:49,97,87,2.5
2017-07-17 21:29:50,97,86,2
2017-07-17 21:29:51,97,85,1.5
2017-07-17 21:29:52,97,84,2.5
2017-07-17 21:29:53,97,84,1.5
2017-07-17 21:29:54,98,83,3
2017-07-17 21:29:55,98,83,2
2017-07-17 21:29:56,98,83,2
2017-07-17 21:29:57,98,83,2
2017-07-17 21:29:58,98,83,2
2017-07-17 21:29:59,98,83,9
2017-07-17 21:30:00,98,83,19
2017-07-17 21:30:01,98,83,3
2017-07-17 21:30:02,98,84,2.5
2017-07-17 21:30:03,98,84,1.5
2017-07-17 21:30:04,98,84,2
2017-07-17 21:30:05,98,84,1.5
2017-07-17 21:30:06,98,85,1.5
2017-07-17 21:30:07,98,85,3
2017-07-17 21:30:08,98,85,2
2017-07-17 21:30:09,98,86,5.5
2017-07-17 21:30:10,98,86,13.5
2017-07-17 21:30:11,98,85,30
2017-07-17 21:30:12,98,85,7.5
2017-07-17 21:30:13,98,84,4
2017-07-17 21:30:14,98,84,5.5
2017-07-17 21:30:15,97,85,2.5
2017-07-17 21:30:16,97,85,5.5
