data_timestamp,Spo2,Pulse,PA

2017-07-26 20:54:48,97,66,127.5
2017-07-26 20:54:49,97,66,0.5
2017-07-26 20:54:50,97,66,0.5
2017-07-26 20:54:51,97,66,38.5
2017-07-26 20:54:52,97,66,47.5
2017-07-26 20:54:53,97,66,24
2017-07-26 20:54:54,97,66,21
2017-07-26 20:54:55,97,66,20
2017-07-26 20:54:56,97,66,63.5
2017-07-26 20:54:57,97,66,61
2017-07-26 20:54:58,97,66,50
2017-07-26 20:54:59,97,65,1.5
2017-07-26 20:55:00,97,65,0.5
2017-07-26 20:55:01,97,65,3
2017-07-26 20:55:02,97,65,127.5
2017-07-26 20:55:03,97,65,41
2017-07-26 20:55:04,97,65,108.5
2017-07-26 20:55:05,97,65,95.5
2017-07-26 20:55:06,97,65,60
2017-07-26 20:55:07,97,65,67
2017-07-26 20:55:08,97,65,22
2017-07-26 20:55:09,97,65,36
2017-07-26 20:55:10,97,65,127.5
2017-07-26 20:55:11,97,65,127.5
2017-07-26 20:55:12,97,65,119.5
2017-07-26 20:55:13,97,64,127.5
2017-07-26 20:55:14,97,64,118.5
2017-07-26 20:55:15,97,64,82.5
2017-07-26 20:55:16,97,64,22
2017-07-26 20:55:17,97,64,25
2017-07-26 20:55:18,97,64,52.5
2017-07-26 20:55:19,97,64,79.5
2017-07-26 20:55:20,97,64,69
2017-07-26 20:55:21,97,64,30.5
2017-07-26 20:55:22,97,64,45.5
2017-07-26 20:55:23,97,64,106.5
2017-07-26 20:55:24,97,65,40.5
2017-07-26 20:55:25,97,65,10.5
2017-07-26 20:55:26,97,65,71.5
2017-07-26 20:55:27,97,64,67
2017-07-26 20:55:28,98,64,57
2017-07-26 20:55:29,98,64,22
2017-07-26 20:55:30,98,64,59.5
2017-07-26 20:55:31,98,63,63.5
2017-07-26 20:55:32,98,63,54
2017-07-26 20:55:33,98,63,127.5
2017-07-26 20:55:34,98,64,83.5
2017-07-26 20:55:35,98,64,33
2017-07-26 20:55:36,98,65,65.5
2017-07-26 20:55:37,98,66,120
2017-07-26 20:55:38,98,66,117
2017-07-26 20:55:39,98,66,62.5
2017-07-26 20:55:40,98,66,127.5
2017-07-26 20:55:41,98,67,122.5
2017-07-26 20:55:42,98,67,66
2017-07-26 20:55:43,98,67,98.5
2017-07-26 20:55:44,98,68,38
2017-07-26 20:55:45,98,68,35
2017-07-26 20:55:46,99,68,38
2017-07-26 20:55:47,99,68,29.5
2017-07-26 20:55:48,99,68,42.5
2017-07-26 20:55:49,99,68,71.5
2017-07-26 20:55:50,99,68,63
2017-07-26 20:55:51,99,68,43.5
2017-07-26 20:55:52,99,68,34.5
2017-07-26 20:55:53,99,68,89
2017-07-26 20:55:54,99,68,59
2017-07-26 20:55:55,99,68,33.5
2017-07-26 20:55:56,99,68,22.5
2017-07-26 20:55:57,99,68,127.5
2017-07-26 20:55:58,99,68,82.5
2017-07-26 20:55:59,99,68,73
2017-07-26 20:56:00,99,69,127.5
2017-07-26 20:56:01,99,69,127.5
2017-07-26 20:56:02,99,69,3.5
2017-07-26 20:56:03,99,68,3.5
2017-07-26 20:56:04,99,68,4
2017-07-26 20:56:05,99,68,127.5
2017-07-26 20:56:06,99,68,6.5
2017-07-26 20:56:07,99,68,57
2017-07-26 20:56:08,99,68,126.5
2017-07-26 20:56:09,99,70,48
2017-07-26 20:56:10,99,70,127.5
2017-07-26 20:56:11,99,70,50
2017-07-26 20:56:12,99,70,28
2017-07-26 20:56:13,99,70,127.5
2017-07-26 20:56:14,99,70,17
2017-07-26 20:56:15,99,70,33.5
2017-07-26 20:56:16,99,71,75.5
2017-07-26 20:56:17,99,71,44.5
2017-07-26 20:56:18,99,70,127.5
2017-07-26 20:56:19,99,70,127.5
2017-07-26 20:56:20,99,70,127.5
2017-07-26 20:56:21,99,70,25
2017-07-26 20:56:22,99,69,7
2017-07-26 20:56:23,99,69,10.5
2017-07-26 20:56:24,99,69,120
2017-07-26 20:56:25,99,69,18.5
2017-07-26 20:56:26,99,68,13.5
2017-07-26 20:56:27,99,68,4.5
2017-07-26 20:56:28,99,68,4.5
2017-07-26 20:56:29,99,68,3
2017-07-26 20:56:30,99,68,9.5
2017-07-26 20:56:31,99,68,126.5
2017-07-26 20:56:32,99,68,111
2017-07-26 20:56:33,99,68,47
2017-07-26 20:56:34,99,68,86
2017-07-26 20:56:35,99,68,2.5
2017-07-26 20:56:36,99,68,1.5
2017-07-26 20:56:37,99,68,2
2017-07-26 20:56:38,99,68,3
2017-07-26 20:56:39,99,68,5.5
2017-07-26 20:56:40,99,68,3.5
2017-07-26 20:56:41,99,68,13
2017-07-26 20:56:42,99,68,55.5
2017-07-26 20:56:43,99,68,3.5
2017-07-26 20:56:44,99,68,1.5
2017-07-26 20:56:45,99,68,1.5
2017-07-26 20:56:46,99,68,3
2017-07-26 20:56:47,99,68,127.5
2017-07-26 20:56:48,99,68,13.5
2017-07-26 20:56:49,99,68,127.5
2017-07-26 20:56:50,99,68,111.5
2017-07-26 20:56:51,99,68,118.5
2017-07-26 20:56:52,99,68,127.5
2017-07-26 20:56:53,99,68,35.5
2017-07-26 20:56:54,99,68,37
2017-07-26 20:56:55,99,68,108
2017-07-26 20:56:56,99,68,70
2017-07-26 20:56:57,99,68,127.5
2017-07-26 20:56:58,99,68,89
2017-07-26 20:56:59,99,68,26
2017-07-26 20:57:00,99,68,34.5
2017-07-26 20:57:01,96,71,45.5
2017-07-26 20:57:02,96,71,56.5
2017-07-26 20:57:03,96,71,115.5
2017-07-26 20:57:04,96,71,57
2017-07-26 20:57:05,96,70,84
2017-07-26 20:57:06,96,70,127.5
2017-07-26 20:57:07,96,70,127.5
2017-07-26 20:57:08,96,70,127.5
2017-07-26 20:57:09,96,70,127.5
2017-07-26 20:57:10,96,70,127.5
2017-07-26 20:57:11,96,70,100
2017-07-26 20:57:12,96,71,3
2017-07-26 20:57:13,96,71,5.5
2017-07-26 20:57:14,97,71,127.5
2017-07-26 20:57:15,97,72,26
2017-07-26 20:57:16,97,72,15
2017-07-26 20:57:17,97,72,44.5
2017-07-26 20:57:18,97,72,127.5
2017-07-26 20:57:19,97,72,127.5
2017-07-26 20:57:20,97,72,127.5
2017-07-26 20:57:21,97,72,62.5
2017-07-26 20:57:22,97,72,56
2017-07-26 20:57:23,97,72,6.5
2017-07-26 20:57:24,97,72,0.5
2017-07-26 20:57:25,97,72,0.5
2017-07-26 20:57:26,97,72,2.5
2017-07-26 20:57:27,97,72,1
2017-07-26 20:57:28,97,72,1
2017-07-26 20:57:29,97,72,1
2017-07-26 20:57:30,97,72,1
2017-07-26 20:57:31,93,65,0.5
2017-07-26 20:57:32,93,65,0.5
2017-07-26 20:57:33,93,65,2.5
2017-07-26 20:57:34,93,65,2
2017-07-26 20:57:35,93,65,23.5
2017-07-26 20:57:36,93,65,13
2017-07-26 20:57:37,93,65,4
2017-07-26 20:57:38,93,64,4.5
2017-07-26 20:57:39,94,64,45.5
2017-07-26 20:57:40,95,64,13.5
2017-07-26 20:57:41,95,63,2.5
2017-07-26 20:57:42,95,63,15
2017-07-26 20:57:43,95,63,1.5
2017-07-26 20:57:44,96,63,1.5
2017-07-26 20:57:45,96,63,1
2017-07-26 20:57:46,96,63,1
2017-07-26 20:57:47,96,63,1
2017-07-26 20:57:48,96,63,0.5
2017-07-26 20:57:49,96,63,0.5
