data_timestamp,Spo2,Pulse,PA

2017-11-07 22:55:46,95,92,120
2017-11-07 22:55:47,95,92,95
2017-11-07 22:55:48,95,92,35
2017-11-07 22:55:49,95,92,36
2017-11-07 22:55:50,95,92,19
2017-11-07 22:55:51,95,92,16.5
2017-11-07 22:55:52,95,92,33
2017-11-07 22:55:53,95,92,40
2017-11-07 22:55:54,95,92,32.5
2017-11-07 22:55:55,95,92,28.5
2017-11-07 22:55:56,95,92,23
2017-11-07 22:55:57,95,92,47.5
2017-11-07 22:55:58,95,92,26
2017-11-07 22:55:59,95,92,46
2017-11-07 22:56:00,95,92,31
2017-11-07 22:56:01,95,92,57
2017-11-07 22:56:02,95,92,63
2017-11-07 22:56:03,95,92,76
2017-11-07 22:56:04,95,92,50
2017-11-07 22:56:05,95,92,43
2017-11-07 22:56:06,95,92,63
2017-11-07 22:56:07,95,92,47
2017-11-07 22:56:08,95,92,55
2017-11-07 22:56:09,95,92,23
2017-11-07 22:56:10,95,92,37.5
2017-11-07 22:56:11,95,92,53
2017-11-07 22:56:12,95,92,26
2017-11-07 22:56:13,95,92,122.5
2017-11-07 22:56:14,95,91,127.5
2017-11-07 22:56:15,95,91,126.5
2017-11-07 22:56:16,95,91,127.5
2017-11-07 22:56:17,95,91,113
2017-11-07 22:56:18,95,91,55
2017-11-07 22:56:19,95,91,127.5
2017-11-07 22:56:20,95,91,127.5
2017-11-07 22:56:21,95,91,28
2017-11-07 22:56:22,95,91,48
2017-11-07 22:56:23,95,92,127.5
2017-11-07 22:56:24,95,93,16
2017-11-07 22:56:25,95,93,35.5
2017-11-07 22:56:26,95,93,32.5
2017-11-07 22:56:27,96,91,127.5
2017-11-07 22:56:28,96,90,19.5
2017-11-07 22:56:29,96,90,70.5
2017-11-07 22:56:30,96,89,127.5
2017-11-07 22:56:31,96,89,42.5
2017-11-07 22:56:32,96,89,62
2017-11-07 22:56:33,96,89,76.5
2017-11-07 22:56:34,96,89,81
2017-11-07 22:56:35,96,89,73.5
2017-11-07 22:56:36,96,90,127.5
2017-11-07 22:56:37,96,91,103.5
2017-11-07 22:56:38,96,91,44.5
2017-11-07 22:56:39,96,91,120.5
2017-11-07 22:56:40,96,91,83
2017-11-07 22:56:41,96,91,127.5
2017-11-07 22:56:42,96,92,127.5
2017-11-07 22:56:43,96,92,122.5
2017-11-07 22:56:44,96,92,126.5
2017-11-07 22:56:45,96,90,61
2017-11-07 22:56:46,96,90,109.5
2017-11-07 22:56:47,96,89,68.5
2017-11-07 22:56:48,96,89,127.5
2017-11-07 22:56:49,96,89,108
2017-11-07 22:56:50,96,89,34.5
2017-11-07 22:56:51,96,89,23
2017-11-07 22:56:52,96,89,91.5
2017-11-07 22:56:53,96,89,94.5
2017-11-07 22:56:54,95,89,42.5
2017-11-07 22:56:55,95,89,58
2017-11-07 22:56:56,95,89,38
2017-11-07 22:56:57,95,89,85.5
2017-11-07 22:56:58,95,89,116.5
2017-11-07 22:56:59,95,89,83
2017-11-07 22:57:00,95,88,127.5
2017-11-07 22:57:01,95,88,119
2017-11-07 22:57:02,95,88,127.5
2017-11-07 22:57:03,95,88,93.5
2017-11-07 22:57:04,97,88,64.5
2017-11-07 22:57:05,97,89,46.5
2017-11-07 22:57:06,97,89,52.5
2017-11-07 22:57:07,97,89,127.5
2017-11-07 22:57:08,97,91,127.5
2017-11-07 22:57:09,97,92,127.5
2017-11-07 22:57:10,97,92,127.5
2017-11-07 22:57:11,97,92,127.5
2017-11-07 22:57:12,97,93,127.5
2017-11-07 22:57:13,97,93,106.5
2017-11-07 22:57:14,97,94,127.5
2017-11-07 22:57:15,96,94,117.5
2017-11-07 22:57:16,95,94,117
2017-11-07 22:57:17,94,94,98.5
2017-11-07 22:57:18,94,94,94
2017-11-07 22:57:19,94,94,98
2017-11-07 22:57:20,94,94,127.5
2017-11-07 22:57:21,94,94,127.5
2017-11-07 22:57:22,94,94,94.5
2017-11-07 22:57:23,94,94,57.5
2017-11-07 22:57:24,94,94,53.5
2017-11-07 22:57:25,94,94,107
2017-11-07 22:57:26,94,94,40
2017-11-07 22:57:27,94,94,95.5
2017-11-07 22:57:28,94,94,57
2017-11-07 22:57:29,94,94,64
2017-11-07 22:57:30,94,94,127.5
2017-11-07 22:57:31,94,94,87.5
2017-11-07 22:57:32,94,93,22.5
2017-11-07 22:57:33,94,93,12
2017-11-07 22:57:34,95,92,2.5
2017-11-07 22:57:35,96,92,6.5
2017-11-07 22:57:36,96,92,8.5
2017-11-07 22:57:37,96,92,6
2017-11-07 22:57:38,96,92,6.5
2017-11-07 22:57:39,96,92,4.5
2017-11-07 22:57:40,96,92,6.5
2017-11-07 22:57:41,96,92,5
2017-11-07 22:57:42,96,92,8
2017-11-07 22:57:43,96,92,7
2017-11-07 22:57:44,96,92,11.5
2017-11-07 22:57:45,96,92,33.5
2017-11-07 22:57:46,96,93,127.5
2017-11-07 22:57:47,96,93,71.5
2017-11-07 22:57:48,96,93,15
2017-11-07 22:57:49,96,93,46.5
