data_timestamp,Spo2,Pulse,PA

2017-06-29 22:23:00,255,0,80
2017-06-29 22:23:01,255,0,76
2017-06-29 22:23:02,255,0,127.5
2017-06-29 22:23:03,255,0,69
2017-06-29 22:23:04,255,0,127.5
2017-06-29 22:23:05,255,0,54
2017-06-29 22:23:06,255,0,100.5
2017-06-29 22:23:07,255,0,27
2017-06-29 22:23:08,255,0,1.5
2017-06-29 22:23:09,255,0,1.5
2017-06-29 22:23:10,255,0,0.5
2017-06-29 22:23:11,255,0,4.5
2017-06-29 22:23:12,255,0,108.5
2017-06-29 22:23:13,255,0,127.5
2017-06-29 22:23:14,255,0,127.5
2017-06-29 22:23:15,255,0,118.5
2017-06-29 22:23:16,255,0,126
2017-06-29 22:23:17,255,0,127.5
2017-06-29 22:23:18,255,0,127.5
2017-06-29 22:23:19,255,0,127.5
2017-06-29 22:23:20,255,0,127.5
2017-06-29 22:23:21,255,0,110.5
2017-06-29 22:23:22,255,0,39.5
2017-06-29 22:23:23,255,0,13
2017-06-29 22:23:24,255,0,16.5
2017-06-29 22:23:25,96,77,127.5
2017-06-29 22:23:26,96,76,92.5
2017-06-29 22:23:27,96,76,127.5
2017-06-29 22:23:28,96,76,127.5
2017-06-29 22:23:29,96,76,127.5
2017-06-29 22:23:30,96,76,127.5
2017-06-29 22:23:31,96,75,127.5
2017-06-29 22:23:32,96,75,125
2017-06-29 22:23:33,96,75,34.5
2017-06-29 22:23:34,96,75,23.5
2017-06-29 22:23:35,96,75,127.5
2017-06-29 22:23:36,96,76,100
2017-06-29 22:23:37,96,76,99
2017-06-29 22:23:38,96,76,104.5
2017-06-29 22:23:39,96,76,35
2017-06-29 22:23:40,96,76,5.5
2017-06-29 22:23:41,96,76,1.5
2017-06-29 22:23:42,96,76,2.5
2017-06-29 22:23:43,96,77,3.5
2017-06-29 22:23:44,95,78,4
2017-06-29 22:23:45,95,78,84
2017-06-29 22:23:46,94,78,18
2017-06-29 22:23:47,93,78,9.5
2017-06-29 22:23:48,93,78,6
2017-06-29 22:23:49,93,78,5
2017-06-29 22:23:50,93,78,7
2017-06-29 22:23:51,93,78,5
2017-06-29 22:23:52,93,78,5
2017-06-29 22:23:53,93,78,8.5
2017-06-29 22:23:54,93,78,8.5
2017-06-29 22:23:55,93,78,5.5
2017-06-29 22:23:56,93,78,27
2017-06-29 22:23:57,93,78,16.5
2017-06-29 22:23:58,93,78,11
2017-06-29 22:23:59,94,78,12.5
2017-06-29 22:24:00,94,78,5.5
2017-06-29 22:24:01,94,79,15
2017-06-29 22:24:02,94,79,4.5
2017-06-29 22:24:03,94,80,5.5
2017-06-29 22:24:04,94,80,123.5
2017-06-29 22:24:05,94,80,40.5
2017-06-29 22:24:06,94,80,22
2017-06-29 22:24:07,94,80,51.5
2017-06-29 22:24:08,94,80,46
2017-06-29 22:24:09,94,80,90
2017-06-29 22:24:10,94,80,53
2017-06-29 22:24:11,94,80,46
2017-06-29 22:24:12,94,80,5
2017-06-29 22:24:13,94,80,0.5
2017-06-29 22:24:14,94,80,1.5
2017-06-29 22:24:15,94,80,1
2017-06-29 22:24:16,94,80,0.5
2017-06-29 22:24:17,94,79,1
2017-06-29 22:24:18,94,79,0.5
2017-06-29 22:24:19,94,79,0.5
2017-06-29 22:24:20,94,75,0.5
2017-06-29 22:24:21,94,75,2.5
2017-06-29 22:24:22,94,75,1
2017-06-29 22:24:23,94,74,25
2017-06-29 22:24:24,94,74,2.5
2017-06-29 22:24:25,94,74,5.5
2017-06-29 22:24:26,94,74,2.5
2017-06-29 22:24:27,94,75,1.5
2017-06-29 22:24:28,94,75,1.5
2017-06-29 22:24:29,94,75,1
2017-06-29 22:24:30,94,75,1.5
2017-06-29 22:24:31,95,76,1.5
2017-06-29 22:24:32,95,76,70
2017-06-29 22:24:33,95,76,127.5
2017-06-29 22:24:34,95,76,80
2017-06-29 22:24:35,95,76,48.5
2017-06-29 22:24:36,95,76,127.5
2017-06-29 22:24:37,95,76,54.5
2017-06-29 22:24:38,95,76,127.5
2017-06-29 22:24:39,95,76,31.5
2017-06-29 22:24:40,95,76,30
2017-06-29 22:24:41,95,76,12
2017-06-29 22:24:42,95,77,18.5
2017-06-29 22:24:43,95,77,107.5
2017-06-29 22:24:44,95,77,25.5
2017-06-29 22:24:45,95,77,30.5
2017-06-29 22:24:46,95,77,21.5
